sale_id,product_id,color,quantity,sale_date,sale_amount
S0000065,P0001,ネイビー,1,2025-07-23,10364
S0000066,P0001,ネイビー,1,2025-07-27,10364
S0000067,P0001,グレー,1,2025-07-28,10364
S0000068,P0001,カーキ,1,2025-07-29,10364
S0000069,P0001,カーキ,1,2025-08-03,10364
S0000070,P0001,ベージュ,1,2025-08-03,10364
S0000071,P0001,ネイビー,1,2025-08-08,10364
S0000072,P0001,グレー,1,2025-08-11,10364
S0000073,P0001,ベージュ,1,2025-08-11,10364
S0000074,P0001,ベージュ,1,2025-08-12,10364
S0000075,P0001,カーキ,1,2025-08-13,10364
S0000076,P0001,ネイビー,1,2025-08-13,10364
S0000077,P0001,グレー,1,2025-08-13,10364
S0000078,P0001,カーキ,1,2025-08-16,10364
S0000079,P0001,ネイビー,1,2025-08-16,10364
S0000080,P0001,グレー,1,2025-08-19,10364
S0000081,P0001,ベージュ,1,2025-08-20,10364
S0000082,P0001,カーキ,1,2025-08-24,10364
S0000083,P0001,ネイビー,1,2025-08-25,10364
S0000084,P0001,ネイビー,1,2025-08-30,10364
S0000085,P0001,ネイビー,1,2025-09-11,10364
S0000086,P0001,ネイビー,1,2025-09-12,10364
S0000087,P0001,グレー,1,2025-09-12,10364
S0000088,P0001,グレー,1,2025-09-15,10364
S0000089,P0001,カーキ,1,2025-09-17,10364
S0000090,P0001,グレー,1,2025-09-17,10364
S0000091,P0001,ベージュ,1,2025-09-17,10364
S0000092,P0001,カーキ,1,2025-09-26,10364
S0000093,P0001,ネイビー,1,2025-09-28,10364
S0000094,P0001,グレー,1,2025-10-06,10364
S0000095,P0001,ネイビー,1,2025-10-08,10364
S0000096,P0001,グレー,2,2025-10-08,20728
S0000097,P0001,ベージュ,1,2025-10-08,10364
S0000098,P0001,カーキ,1,2025-10-09,10364
S0000099,P0001,ネイビー,1,2025-10-20,10364
S0000100,P0001,ネイビー,1,2025-10-24,10364
S0000101,P0001,ベージュ,1,2025-10-24,10364
S0000102,P0001,ネイビー,1,2025-10-29,10364
S0000103,P0001,カーキ,1,2025-10-30,10364
S0000104,P0001,グレー,1,2025-11-10,10364
S0000105,P0001,ネイビー,1,2025-11-13,10364
S0000106,P0001,グレー,1,2025-11-13,10364
S0000107,P0001,ネイビー,2,2025-11-14,20728
S0000108,P0001,グレー,1,2025-11-14,10364
S0000109,P0001,カーキ,1,2025-11-15,10364
S0000110,P0001,ネイビー,1,2025-11-15,10364
S0000111,P0001,ベージュ,1,2025-11-16,10364
S0000112,P0001,ネイビー,1,2025-11-19,10364
S0000113,P0001,グレー,1,2025-11-24,10364
S0000114,P0001,グレー,1,2025-11-25,10364
S0000115,P0001,ネイビー,1,2025-12-04,10364
S0000116,P0001,グレー,1,2025-12-04,10364
S0000117,P0001,ベージュ,1,2025-12-06,10364
S0000118,P0001,カーキ,1,2025-12-09,10364
S0000119,P0001,ネイビー,1,2025-12-10,10364
S0000120,P0001,グレー,1,2025-12-14,10364
S0000121,P0001,ベージュ,1,2025-12-15,10364
S0000122,P0001,グレー,1,2025-12-21,10364
S0000123,P0001,グレー,1,2025-12-26,10364
S0000124,P0001,カーキ,1,2025-12-29,10364
S0000125,P0001,ベージュ,1,2026-01-03,10364
S0000126,P0001,グレー,1,2026-01-04,10364
S0000127,P0001,ベージュ,1,2026-01-10,10364
S0000128,P0001,ネイビー,1,2026-01-14,10364
S0000129,P0001,グレー,1,2026-01-14,10364
S0000130,P0001,カーキ,1,2026-01-17,10364
S0000131,P0001,ネイビー,1,2026-01-17,10364
S0000132,P0001,グレー,1,2026-01-21,10364
S0000133,P0001,グレー,1,2026-01-22,10364
S0000134,P0001,ベージュ,1,2026-01-23,10364
S0000135,P0001,グレー,1,2026-01-25,10364
S0000136,P0001,ベージュ,1,2026-01-26,10364
S0000137,P0001,ネイビー,1,2026-01-27,10364
S0000138,P0001,ベージュ,1,2026-02-03,10364
S0000139,P0001,カーキ,1,2026-02-05,10364
S0000140,P0001,グレー,1,2026-02-14,10364
S0000141,P0001,カーキ,1,2026-02-17,10364
S0000142,P0001,ネイビー,1,2026-02-23,10364
S0000143,P0001,ベージュ,1,2026-02-23,10364
S0000144,P0001,ネイビー,1,2026-02-27,10364
S0000145,P0001,ベージュ,1,2026-02-27,10364
S0000146,P0001,ベージュ,1,2026-03-03,10364
S0000147,P0001,ネイビー,1,2026-03-04,10364
S0000148,P0001,ネイビー,1,2026-03-06,10364
S0000149,P0001,グレー,1,2026-03-06,10364
S0000150,P0001,ネイビー,1,2026-03-07,10364
S0000151,P0001,カーキ,1,2026-03-10,10364
S0000152,P0001,グレー,1,2026-03-11,10364
S0000153,P0001,カーキ,2,2026-03-12,20728
S0000154,P0001,ネイビー,1,2026-03-12,10364
S0000155,P0001,カーキ,1,2026-03-13,10364
S0000156,P0001,ベージュ,1,2026-03-13,10364
S0000157,P0001,グレー,1,2026-03-16,10364
S0000158,P0001,カーキ,1,2026-03-31,10364
S0000159,P0001,カーキ,1,2026-04-01,10364
S0000160,P0001,ベージュ,1,2026-04-01,10364
S0000161,P0002,ブラック,2,2025-04-02,27126
S0000162,P0002,ネイビー,1,2025-04-02,13563
S0000163,P0002,カーキ,2,2025-04-02,27126
S0000164,P0002,ベージュ,1,2025-04-02,13563
S0000165,P0002,ベージュ,2,2025-04-03,27126
S0000166,P0002,ブラック,1,2025-04-04,13563
S0000167,P0002,ネイビー,1,2025-04-04,13563
S0000168,P0002,カーキ,1,2025-04-04,13563
S0000169,P0002,ベージュ,1,2025-04-04,13563
S0000170,P0002,ブラック,4,2025-04-05,54252
S0000171,P0002,ベージュ,1,2025-04-05,13563
S0000172,P0002,ブラック,4,2025-04-06,54252
S0000173,P0002,カーキ,2,2025-04-06,27126
S0000174,P0002,ベージュ,1,2025-04-06,13563
S0000175,P0002,ブラック,1,2025-04-07,13563
S0000176,P0002,ネイビー,3,2025-04-07,40689
S0000177,P0002,ベージュ,1,2025-04-07,13563
S0000178,P0002,ネイビー,3,2025-04-08,40689
S0000179,P0002,ベージュ,2,2025-04-08,27126
S0000180,P0002,ブラック,1,2025-04-09,13563
S0000181,P0002,ネイビー,2,2025-04-09,27126
S0000182,P0002,ベージュ,1,2025-04-09,13563
S0000183,P0002,ブラック,4,2025-04-10,54252
S0000184,P0002,ネイビー,1,2025-04-10,13563
S0000185,P0002,ブラック,1,2025-04-11,13563
S0000186,P0002,ベージュ,1,2025-04-11,13563
S0000187,P0002,ネイビー,1,2025-04-12,13563
S0000188,P0002,カーキ,1,2025-04-12,13563
S0000189,P0002,カーキ,1,2025-04-13,13563
S0000190,P0002,ベージュ,4,2025-04-13,54252
S0000191,P0002,ネイビー,1,2025-04-14,13563
S0000192,P0002,ネイビー,1,2025-04-16,13563
S0000193,P0002,カーキ,4,2025-04-16,54252
S0000194,P0002,ベージュ,1,2025-04-16,13563
S0000195,P0002,ブラック,2,2025-04-17,27126
S0000196,P0002,カーキ,1,2025-04-17,13563
S0000197,P0002,ベージュ,1,2025-04-17,13563
S0000198,P0002,ブラック,3,2025-04-18,40689
S0000199,P0002,ネイビー,1,2025-04-18,13563
S0000200,P0002,カーキ,1,2025-04-18,13563
S0000201,P0002,ネイビー,2,2025-04-19,27126
S0000202,P0002,ベージュ,1,2025-04-19,13563
S0000203,P0002,ブラック,1,2025-04-20,13563
S0000204,P0002,ネイビー,2,2025-04-20,27126
S0000205,P0002,カーキ,2,2025-04-20,27126
S0000206,P0002,ベージュ,2,2025-04-20,27126
S0000207,P0002,ネイビー,1,2025-04-21,13563
S0000208,P0002,カーキ,1,2025-04-21,13563
S0000209,P0002,ベージュ,1,2025-04-21,13563
S0000210,P0002,ブラック,1,2025-04-22,13563
S0000211,P0002,ベージュ,2,2025-04-22,27126
S0000212,P0002,ネイビー,2,2025-04-23,27126
S0000213,P0002,カーキ,2,2025-04-23,27126
S0000214,P0002,ベージュ,2,2025-04-23,27126
S0000215,P0002,カーキ,2,2025-04-24,27126
S0000216,P0002,ベージュ,5,2025-04-24,67815
S0000217,P0002,ブラック,1,2025-04-25,13563
S0000218,P0002,ブラック,1,2025-04-26,13563
S0000219,P0002,ベージュ,1,2025-04-26,13563
S0000220,P0002,ネイビー,1,2025-04-27,13563
S0000221,P0002,ベージュ,1,2025-04-27,13563
S0000222,P0002,ブラック,2,2025-04-28,27126
S0000223,P0002,カーキ,1,2025-04-28,13563
S0000224,P0002,ネイビー,1,2025-04-30,13563
S0000225,P0002,カーキ,1,2025-04-30,13563
S0000226,P0002,ブラック,2,2025-05-01,27126
S0000227,P0002,カーキ,1,2025-05-01,13563
S0000228,P0002,ベージュ,1,2025-05-01,13563
S0000229,P0002,カーキ,2,2025-05-02,27126
S0000230,P0002,ベージュ,2,2025-05-02,27126
S0000231,P0002,ネイビー,2,2025-05-03,27126
S0000232,P0002,ベージュ,1,2025-05-03,13563
S0000233,P0002,ネイビー,2,2025-05-04,27126
S0000234,P0002,カーキ,2,2025-05-04,27126
S0000235,P0002,ベージュ,1,2025-05-04,13563
S0000236,P0002,ブラック,1,2025-05-05,13563
S0000237,P0002,カーキ,1,2025-05-06,13563
S0000238,P0002,ブラック,1,2025-05-07,13563
S0000239,P0002,ネイビー,3,2025-05-07,40689
S0000240,P0002,カーキ,1,2025-05-07,13563
S0000241,P0002,ベージュ,1,2025-05-07,13563
S0000242,P0002,ネイビー,1,2025-05-08,13563
S0000243,P0002,ネイビー,1,2025-05-09,13563
S0000244,P0002,ベージュ,1,2025-05-09,13563
S0000245,P0002,ブラック,2,2025-05-10,27126
S0000246,P0002,ネイビー,1,2025-05-10,13563
S0000247,P0002,ベージュ,1,2025-05-10,13563
S0000248,P0002,ブラック,1,2025-05-11,13563
S0000249,P0002,カーキ,1,2025-05-11,13563
S0000250,P0002,ベージュ,1,2025-05-11,13563
S0000251,P0002,ブラック,1,2025-05-13,13563
S0000252,P0002,ネイビー,1,2025-05-13,13563
S0000253,P0002,カーキ,2,2025-05-13,27126
S0000254,P0002,ベージュ,1,2025-05-13,13563
S0000255,P0002,ブラック,1,2025-05-14,13563
S0000256,P0002,カーキ,1,2025-05-14,13563
S0000257,P0002,ベージュ,1,2025-05-14,13563
S0000258,P0002,ブラック,1,2025-05-15,13563
S0000259,P0002,カーキ,2,2025-05-15,27126
S0000260,P0002,ベージュ,1,2025-05-15,13563
S0000261,P0002,ブラック,2,2025-05-16,27126
S0000262,P0002,ネイビー,3,2025-05-16,40689
S0000263,P0002,ベージュ,1,2025-05-16,13563
S0000264,P0002,ベージュ,2,2025-05-17,27126
S0000265,P0002,ネイビー,2,2025-05-18,27126
S0000266,P0002,カーキ,1,2025-05-18,13563
S0000267,P0002,ベージュ,2,2025-05-18,27126
S0000268,P0002,ベージュ,1,2025-05-19,13563
S0000269,P0002,ブラック,1,2025-05-20,13563
S0000270,P0002,ネイビー,1,2025-05-20,13563
S0000271,P0002,カーキ,1,2025-05-20,13563
S0000272,P0002,ブラック,1,2025-05-21,13563
S0000273,P0002,ブラック,2,2025-05-22,27126
S0000274,P0002,ネイビー,1,2025-05-22,13563
S0000275,P0002,ブラック,1,2025-05-23,13563
S0000276,P0002,ネイビー,2,2025-05-23,27126
S0000277,P0002,ベージュ,1,2025-05-23,13563
S0000278,P0002,カーキ,2,2025-05-24,27126
S0000279,P0002,ベージュ,1,2025-05-24,13563
S0000280,P0002,ブラック,1,2025-05-25,13563
S0000281,P0002,ネイビー,2,2025-05-25,27126
S0000282,P0002,ベージュ,1,2025-05-25,13563
S0000283,P0002,カーキ,1,2025-05-26,13563
S0000284,P0002,ベージュ,1,2025-05-26,13563
S0000285,P0002,ブラック,2,2025-05-27,27126
S0000286,P0002,カーキ,3,2025-05-27,40689
S0000287,P0002,ベージュ,1,2025-05-27,13563
S0000288,P0002,ブラック,1,2025-05-28,13563
S0000289,P0002,カーキ,2,2025-05-28,27126
S0000290,P0002,ベージュ,1,2025-05-28,13563
S0000291,P0002,ネイビー,1,2025-05-29,13563
S0000292,P0002,ブラック,2,2025-05-31,27126
S0000293,P0002,ネイビー,1,2025-05-31,13563
S0000294,P0002,ベージュ,2,2025-06-01,27126
S0000295,P0002,カーキ,1,2025-06-02,13563
S0000296,P0002,ベージュ,2,2025-06-02,27126
S0000297,P0002,ブラック,1,2025-06-03,13563
S0000298,P0002,ベージュ,1,2025-06-03,13563
S0000299,P0002,ブラック,1,2025-06-04,13563
S0000300,P0002,ネイビー,3,2025-06-04,40689
S0000301,P0002,ベージュ,1,2025-06-04,13563
S0000302,P0002,カーキ,2,2025-06-05,27126
S0000303,P0002,ベージュ,1,2025-06-05,13563
S0000304,P0002,ブラック,1,2025-06-06,13563
S0000305,P0002,ネイビー,1,2025-06-06,13563
S0000306,P0002,カーキ,2,2025-06-06,27126
S0000307,P0002,ベージュ,1,2025-06-06,13563
S0000308,P0002,ブラック,2,2025-06-07,27126
S0000309,P0002,ネイビー,1,2025-06-07,13563
S0000310,P0002,ネイビー,1,2025-06-08,13563
S0000311,P0002,カーキ,1,2025-06-08,13563
S0000312,P0002,ベージュ,1,2025-06-08,13563
S0000313,P0002,ブラック,1,2025-06-09,13563
S0000314,P0002,ネイビー,1,2025-06-09,13563
S0000315,P0002,カーキ,1,2025-06-09,13563
S0000316,P0002,ベージュ,1,2025-06-09,13563
S0000317,P0002,カーキ,1,2025-06-10,13563
S0000318,P0002,ブラック,1,2025-06-11,13563
S0000319,P0002,ネイビー,1,2025-06-11,13563
S0000320,P0002,ブラック,1,2025-06-12,13563
S0000321,P0002,カーキ,1,2025-06-12,13563
S0000322,P0002,ネイビー,1,2025-06-13,13563
S0000323,P0002,カーキ,2,2025-06-13,27126
S0000324,P0002,ブラック,2,2025-06-14,27126
S0000325,P0002,カーキ,2,2025-06-14,27126
S0000326,P0002,ベージュ,1,2025-06-14,13563
S0000327,P0002,ブラック,1,2025-06-15,13563
S0000328,P0002,ネイビー,1,2025-06-15,13563
S0000329,P0002,ベージュ,1,2025-06-15,13563
S0000330,P0002,ブラック,3,2025-06-16,40689
S0000331,P0002,ネイビー,1,2025-06-16,13563
S0000332,P0002,ブラック,1,2025-06-17,13563
S0000333,P0002,ネイビー,2,2025-06-17,27126
S0000334,P0002,カーキ,2,2025-06-17,27126
S0000335,P0002,ブラック,1,2025-06-18,13563
S0000336,P0002,ネイビー,2,2025-06-18,27126
S0000337,P0002,カーキ,2,2025-06-18,27126
S0000338,P0002,ブラック,1,2025-06-19,13563
S0000339,P0002,ネイビー,2,2025-06-19,27126
S0000340,P0002,カーキ,1,2025-06-19,13563
S0000341,P0002,ブラック,1,2025-06-21,13563
S0000342,P0002,ベージュ,1,2025-06-21,13563
S0000343,P0002,ブラック,1,2025-06-22,13563
S0000344,P0002,ベージュ,2,2025-06-22,27126
S0000345,P0002,ブラック,1,2025-06-23,13563
S0000346,P0002,カーキ,2,2025-06-23,27126
S0000347,P0002,ベージュ,1,2025-06-23,13563
S0000348,P0002,ベージュ,1,2025-06-24,13563
S0000349,P0002,ネイビー,1,2025-06-25,13563
S0000350,P0002,ブラック,2,2025-06-30,27126
S0000351,P0002,カーキ,1,2025-06-30,13563
S0000352,P0002,ベージュ,1,2025-06-30,13563
S0000353,P0002,ベージュ,2,2025-07-01,27126
S0000354,P0002,ブラック,1,2025-07-02,13563
S0000355,P0002,ネイビー,1,2025-07-02,13563
S0000356,P0002,ベージュ,1,2025-07-02,13563
S0000357,P0002,ベージュ,1,2025-07-03,13563
S0000358,P0002,ブラック,1,2025-07-04,13563
S0000359,P0002,カーキ,1,2025-07-04,13563
S0000360,P0002,ベージュ,2,2025-07-04,27126
S0000361,P0002,ブラック,1,2025-07-05,13563
S0000362,P0002,ブラック,1,2025-07-06,13563
S0000363,P0002,ネイビー,1,2025-07-06,13563
S0000364,P0002,カーキ,1,2025-07-06,13563
S0000365,P0002,カーキ,2,2025-07-07,27126
S0000366,P0002,ベージュ,1,2025-07-07,13563
S0000367,P0002,ブラック,1,2025-07-09,13563
S0000368,P0002,ネイビー,1,2025-07-09,13563
S0000369,P0002,カーキ,1,2025-07-09,13563
S0000370,P0002,ベージュ,1,2025-07-09,13563
S0000371,P0002,ブラック,1,2025-07-10,13563
S0000372,P0002,ネイビー,1,2025-07-10,13563
S0000373,P0002,ベージュ,1,2025-07-10,13563
S0000374,P0002,カーキ,2,2025-07-11,27126
S0000375,P0002,ベージュ,1,2025-07-11,13563
S0000376,P0002,ネイビー,3,2025-07-13,40689
S0000377,P0002,カーキ,1,2025-07-13,13563
S0000378,P0002,ブラック,1,2025-07-15,13563
S0000379,P0002,カーキ,2,2025-07-15,27126
S0000380,P0002,ベージュ,1,2025-07-15,13563
S0000381,P0002,ブラック,1,2025-07-16,13563
S0000382,P0002,ネイビー,1,2025-07-16,13563
S0000383,P0002,ベージュ,1,2025-07-16,13563
S0000384,P0002,ブラック,1,2025-07-17,13563
S0000385,P0002,ネイビー,1,2025-07-17,13563
S0000386,P0002,ネイビー,2,2025-07-19,27126
S0000387,P0002,カーキ,1,2025-07-19,13563
S0000388,P0002,ベージュ,2,2025-07-19,27126
S0000389,P0002,ブラック,1,2025-07-21,13563
S0000390,P0002,ベージュ,1,2025-07-21,13563
S0000391,P0002,ベージュ,1,2025-07-22,13563
S0000392,P0002,ブラック,2,2025-07-23,27126
S0000393,P0002,ネイビー,1,2025-07-23,13563
S0000394,P0002,カーキ,1,2025-07-23,13563
S0000395,P0002,ブラック,3,2025-07-24,40689
S0000396,P0002,ブラック,2,2025-07-25,27126
S0000397,P0002,ネイビー,1,2025-07-25,13563
S0000398,P0002,カーキ,1,2025-07-25,13563
S0000399,P0002,ブラック,2,2025-07-26,27126
S0000400,P0002,カーキ,1,2025-07-26,13563
S0000401,P0002,ベージュ,1,2025-07-26,13563
S0000402,P0002,カーキ,2,2025-07-29,27126
S0000403,P0002,ブラック,2,2025-07-30,27126
S0000404,P0002,ネイビー,1,2025-07-30,13563
S0000405,P0002,ブラック,1,2025-07-31,13563
S0000406,P0002,ネイビー,1,2025-07-31,13563
S0000407,P0002,カーキ,3,2025-07-31,40689
S0000408,P0002,ベージュ,2,2025-07-31,27126
S0000409,P0002,ブラック,2,2025-08-01,27126
S0000410,P0002,カーキ,1,2025-08-01,13563
S0000411,P0002,ブラック,2,2025-08-02,27126
S0000412,P0002,ネイビー,1,2025-08-02,13563
S0000413,P0002,カーキ,1,2025-08-02,13563
S0000414,P0002,ブラック,1,2025-08-03,13563
S0000415,P0002,ブラック,1,2025-08-04,13563
S0000416,P0002,ベージュ,1,2025-08-04,13563
S0000417,P0002,カーキ,1,2025-08-07,13563
S0000418,P0002,ネイビー,2,2025-08-08,27126
S0000419,P0002,ベージュ,1,2025-08-08,13563
S0000420,P0002,ブラック,1,2025-08-09,13563
S0000421,P0002,ネイビー,1,2025-08-09,13563
S0000422,P0002,カーキ,1,2025-08-09,13563
S0000423,P0002,ベージュ,1,2025-08-09,13563
S0000424,P0002,ブラック,3,2025-08-10,40689
S0000425,P0002,カーキ,2,2025-08-10,27126
S0000426,P0002,ブラック,1,2025-08-12,13563
S0000427,P0002,ネイビー,1,2025-08-12,13563
S0000428,P0002,ブラック,1,2025-08-13,13563
S0000429,P0002,カーキ,1,2025-08-13,13563
S0000430,P0002,ベージュ,2,2025-08-13,27126
S0000431,P0002,ブラック,2,2025-08-14,27126
S0000432,P0002,カーキ,1,2025-08-14,13563
S0000433,P0002,ブラック,1,2025-08-16,13563
S0000434,P0002,ベージュ,1,2025-08-16,13563
S0000435,P0002,ブラック,1,2025-08-17,13563
S0000436,P0002,ネイビー,2,2025-08-17,27126
S0000437,P0002,カーキ,1,2025-08-17,13563
S0000438,P0002,ベージュ,1,2025-08-17,13563
S0000439,P0002,ブラック,1,2025-08-18,13563
S0000440,P0002,ネイビー,2,2025-08-18,27126
S0000441,P0002,カーキ,1,2025-08-18,13563
S0000442,P0002,ベージュ,2,2025-08-18,27126
S0000443,P0002,ブラック,1,2025-08-19,13563
S0000444,P0002,カーキ,2,2025-08-19,27126
S0000445,P0002,ベージュ,1,2025-08-21,13563
S0000446,P0002,ベージュ,1,2025-08-22,13563
S0000447,P0002,ネイビー,1,2025-08-23,13563
S0000448,P0002,ネイビー,2,2025-08-24,27126
S0000449,P0002,ベージュ,1,2025-08-24,13563
S0000450,P0002,ブラック,1,2025-08-25,13563
S0000451,P0002,ネイビー,1,2025-08-25,13563
S0000452,P0002,カーキ,2,2025-08-25,27126
S0000453,P0002,ブラック,2,2025-08-26,27126
S0000454,P0002,ネイビー,1,2025-08-26,13563
S0000455,P0002,カーキ,1,2025-08-26,13563
S0000456,P0002,ブラック,1,2025-08-27,13563
S0000457,P0002,ベージュ,1,2025-08-28,13563
S0000458,P0002,ブラック,1,2025-08-29,13563
S0000459,P0002,カーキ,1,2025-08-29,13563
S0000460,P0002,ベージュ,2,2025-08-29,27126
S0000461,P0002,ブラック,2,2025-08-30,27126
S0000462,P0002,カーキ,2,2025-08-30,27126
S0000463,P0002,ネイビー,2,2025-08-31,27126
S0000464,P0002,ベージュ,1,2025-08-31,13563
S0000465,P0002,ブラック,1,2025-09-01,13563
S0000466,P0002,カーキ,1,2025-09-01,13563
S0000467,P0002,ベージュ,1,2025-09-01,13563
S0000468,P0002,ネイビー,3,2025-09-02,40689
S0000469,P0002,カーキ,1,2025-09-02,13563
S0000470,P0002,ベージュ,3,2025-09-02,40689
S0000471,P0002,ネイビー,1,2025-09-03,13563
S0000472,P0002,カーキ,2,2025-09-03,27126
S0000473,P0002,ブラック,1,2025-09-04,13563
S0000474,P0002,ネイビー,1,2025-09-04,13563
S0000475,P0002,カーキ,2,2025-09-04,27126
S0000476,P0002,ブラック,1,2025-09-05,13563
S0000477,P0002,ブラック,1,2025-09-07,13563
S0000478,P0002,ネイビー,1,2025-09-07,13563
S0000479,P0002,カーキ,2,2025-09-07,27126
S0000480,P0002,ベージュ,1,2025-09-07,13563
S0000481,P0002,ネイビー,1,2025-09-10,13563
S0000482,P0002,カーキ,1,2025-09-10,13563
S0000483,P0002,ベージュ,1,2025-09-11,13563
S0000484,P0002,ブラック,1,2025-09-12,13563
S0000485,P0002,ネイビー,3,2025-09-12,40689
S0000486,P0002,カーキ,1,2025-09-12,13563
S0000487,P0002,ブラック,1,2025-09-13,13563
S0000488,P0002,ネイビー,1,2025-09-13,13563
S0000489,P0002,カーキ,1,2025-09-13,13563
S0000490,P0002,ブラック,1,2025-09-14,13563
S0000491,P0002,カーキ,3,2025-09-14,40689
S0000492,P0002,ベージュ,1,2025-09-14,13563
S0000493,P0002,ブラック,1,2025-09-15,13563
S0000494,P0002,カーキ,1,2025-09-15,13563
S0000495,P0002,ベージュ,1,2025-09-17,13563
S0000496,P0002,カーキ,2,2025-09-19,27126
S0000497,P0002,ブラック,2,2025-09-20,27126
S0000498,P0002,ネイビー,1,2025-09-20,13563
S0000499,P0002,カーキ,1,2025-09-20,13563
S0000500,P0002,ベージュ,2,2025-09-20,27126
S0000501,P0002,ベージュ,1,2025-09-21,13563
S0000502,P0002,ブラック,2,2025-09-22,27126
S0000503,P0002,ネイビー,1,2025-09-22,13563
S0000504,P0002,ベージュ,1,2025-09-22,13563
S0000505,P0002,ブラック,1,2025-09-23,13563
S0000506,P0002,ネイビー,1,2025-09-23,13563
S0000507,P0002,ベージュ,2,2025-09-23,27126
S0000508,P0002,ブラック,1,2025-09-24,13563
S0000509,P0002,ネイビー,2,2025-09-24,27126
S0000510,P0002,ベージュ,1,2025-09-24,13563
S0000511,P0002,ブラック,1,2025-09-25,13563
S0000512,P0002,ネイビー,1,2025-09-25,13563
S0000513,P0002,ベージュ,1,2025-09-25,13563
S0000514,P0002,ブラック,1,2025-09-26,13563
S0000515,P0002,ベージュ,2,2025-09-26,27126
S0000516,P0002,ブラック,1,2025-09-27,13563
S0000517,P0002,ネイビー,1,2025-09-27,13563
S0000518,P0002,ブラック,1,2025-09-28,13563
S0000519,P0002,ベージュ,2,2025-09-28,27126
S0000520,P0002,ブラック,3,2025-09-29,40689
S0000521,P0002,ベージュ,1,2025-09-29,13563
S0000522,P0002,カーキ,1,2025-09-30,13563
S0000523,P0002,ベージュ,1,2025-09-30,13563
S0000524,P0002,カーキ,1,2025-10-01,13563
S0000525,P0002,ベージュ,1,2025-10-01,13563
S0000526,P0002,ネイビー,1,2025-10-03,13563
S0000527,P0002,カーキ,1,2025-10-03,13563
